taxids	mrca
282420;282421;282422;282423;282437;282438;282439;282442;329571;338368;498544;498545;498555;498569;498570;498571;498572;498574;498575;498577;498580;498581;1189340;1189341;1189343;1189344;1189345;1189346;1189347;1189348;1189349;1189350;1189351;1189352;1189353;1189354;1189355;1189356;1189357;1189358;1189359;1189360;1189361;1189362;1189363;1189364;1189367;1189368;1189369;1189370;1189371;1189372;1189373;1189374;1189375;1189376;1189377;1189378;1189379;1189381;1189382;1189385;1189388;1189390;1189391;1189392;1189393;1189394;1189395;1189396;1189398;1189399;1189401;1189402;1189404;1189405;1189408;1189409;1189410;1189411;1189412;1189414;1189415;1189416;1189419;1189420;1189421;1189422;1189424;1189425;1189426;1189429;1189430;1189434;1189435;1189436;1189438;1189440;1189442;1189443;1189446;1189452;1189455;1189456;1189458;1189462;1189463;1189464;1189465;1189466;1189471;1189473;1189474;1189476;1189477;1189478;1189479;1189480;1189483;1189488;1189489;1189490;1189491;1189492;1189493;1189494;1189496;1189497;1189498;1189499;1189500;1189501;1189502;1189503;1189505;1189506;1189507;1189508;1189513;1189521;1189531;1189558;1189559;1189561;1189562;1189563;1189564;1189565;1189566;1189567;1189569;1189570;1189571;1189573;1189574;1189575;1189576;1311646;1311648;1311649;1311651;1311652;1311653;1311655;1311657;1311658;1311659;1311660;1311661;1311663;1311664;1311665;1311667;1311668;1311669;1311670;1311671;1311672;1311674;1311675;1311676;1311677;1311679;1311680;1311681;1311682;1311683;1311684;1311685;1311686;1311687;1311688;1311689;1311690;1311691;1311692;1311693;1311694;1311695;1311696;1311698;1311699;1311700;1311701;1311703;1311704;1311705;1311706;1311707;1311708;1311709;1311711;1311712;1311713;1311714;1311715;1311716;1311717;1311718;1311719;1311720;1311722;1311723;1311724;1311725;1311726;1311727;1311729;1311730;1311731;1311732;1311733;1311734;1311735;1311736;1311737;1311738;1311739;1311740;1311741;1311742;1311743;1311744;1311745;1311746;1311747;1311748;1311749;1311750;1311751;1311752;1311753;1311754;1311755;1311756	54304
28280;130308	130308
283010;299392;299394	4783
283649;1123954	1123954
2843;267567	2842
28448;940283	1434011
284630;284631	257649
284676;284681	1445877
284677;284682	1445877
284693;284726;284727;284729	2647170
284798;284799;284802	2644498
285;1111078	285
2856;1655539	2836
28567;1131646	5042
28572;861550	5094
287;40324	1236
288900;314542;314543	279888
28901;59203	28901
289605;290088	4782
28976;99816	25607
28978;28982;99812;160790	3367
2903;1841481	2759
2903;1856765;1856766	418966
2903;280463	2903
2903;38817	418966
290400;375451;398580	31989
29058;55057	7100
290808;350692;350693;350694;350695	2613784
290817;350697;388086;795756;795760;795774;795775;795780;795782;866814;866817;866819;866820;866821;866823;866824;866828;1630552;1630556;1630557;1630567;1630568;1630579;1630582;1630584;1630585;1630586	2640874
29176;572307	29176
2925;2926;2935;39453;191036;671319;671320;671322;686664	2924
2925;2926;39453	2924
2926;1126607	2924
2926;2932	2924
2926;2945;235267;439205;549692	2864
292800;649753	292800
29281;360837	1783275
29281;550570	48509
29313;36812	1763
2935;39453;39455	2924
293613;293614;315456;392021;416276;452659	780
293613;315456;392021;416276;452659	780
29410;1050634;1050640;1050642	2626047
294185;1326884	1107380
29421;393262	911
29424;39962	445
294;333;47878	286
294381;885313	5759
294;47878	136843
29448;398525	29448
29448;690585	356
29459;120576;120577;444178;520450;520451;520452;520453;520454;520455;520456;520465;520466	234
29461;36855;204722;470137	234
29497;1667103;1667105	662
29497;246167	662
29519;664662	64895
29533;1236113	237
295405;435590	171549
295405;435591	171549
295714;295715	187991
29573;42565	2745
29575;743973	29575
295837;356654	3027
29636;29639	1521262
296584;296589	35461
296591;338969;365044	80864
296814;296817;414688	2593658
297966;1407773	2644671
298653;326424	1854
29908;1397361	29908
29920;53986	4783
299392;299393	4783
299392;299394	4783
300224;1220762	50368
30023;30025	32346
30023;30033	32346
30025;30033;125945	32346
30033;125945	32346
30033;42026	32346
3012;3013	3011
301301;585394	301301
3013;49266;87146;87147;87148;87149;1086085	3011
3013;87147	3011
3013;87147;87148;87159	3010
30192;30194	28641
302171;302172;302173	2649722
303396;2014777	2857
303;941423	286
3046;3047	3044
304923;696268	195038
305;297303;297304	48736
3055;34128	3041
305;564066	305
305684;1380563	268565
305876;324617	642
306535;753088	196896
307492;345552	464929
3076;3077	3071
3082;156112;284943	3041
309132;309134	147538
310571;1074816	94231
3120;111616	3118
312172;312173	100053
31221;45752	31213
312326;312327	656551
31272;929023;1273202;1442608	5820
31276;1032511	31276
314261;1115650	198252
314744;533455	2614977
314745;314749;314754;314778;314789	2614977
314747;533562;533582;533646;533695;533735;533744;533978	2614977
314763;314916;314936	2614977
314769;314991	2614977
314774;533602;533955;533960	2614977
314779;533416;533486;533491;533622;533624;533833	2614977
314782;314784;533410;533468;533472;533586;533785;533798;533799;533820;533985	2614977
314799;314811;314839;534142	2614977
314800;314807;314812;314816;314824;314828;314831;314832;314834;314835;314843;314845	2614977
314803;314813;314822;314838	2614977
314804;534170	2614977
314818;315044	2614977
314829;314830	2614977
314850;314899;533487;533566;533619	2614977
314865;617132;617133;617134;882102;989499;990314	662
314871;677200;677228;677235;677849;677973;678129;678227;722968	2614977
314882;533479;533949;534015	2614977
314891;314978;314980;315059	2614977
314902;314910;314920	2614977
314911;314973	2614977
314915;314940;314947;314954;314959;314983;314996;534054	2614977
315018;534029	2614977
315044;677936	2614977
315045;315060	2614977
315456;392021;416276;452659	114277
317100;317101;317102	2811
317547;317548	6151
318161;318167	22
318167;326297	22
318;319	29438
319000;1070014;1070047;1070053	2631580
31963;33013	28447
320441;1917383	110474
321269;361581	104267
321;83167;591153	317
321961;936052;1171612	33926
325240;399599;402882	62322
326886;326887;326889;326890;326891;326892;326894;326895;326896;326897;326898;326900;326901;326902;326903;326904	2629106
328424;328425	329934
329463;359385;487904	338
33010;997355	33010
33013;33014	28447
33045;357758	773
33045;357758;357759;573730	773
33045;386865;386866	773
33085;41668	5758
330879;746128	746128
33124;84173;84176;84178;84192;84202;459193;459196;459198;540245;644811;644813	26777
33165;74104	4910
332114;332120;332121;332122;332124	3179
332121;1324036	3179
332321;587030	4890
332952;510516	2720871
3338;3344	139272
334137;457550	31317
33423;171917;328831	33416
334415;428441;428443	1489922
3345;151559;399189	139272
3347;3352	139271
336125;1197762	153868
336724;1278444	10662
336724;1278483	10662
336724;1278534	10662
3369;99810	3369
337183;337264	24647
338192;1229908	338191
33901;68196	1482596
33905;1254439	33905
33945;1140002	33945
33989;246888	114277
340099;399726	1754
34034;214038	28221
34065;53410	251698
34077;103690	2593658
340;92826;461406	339
34105;519441	34105
343074;343079	2684926
346754;346755	41103
34;675543	34
346855;1202177	295611
349857;349867	196806
350089;350090	2645653
350698;866815;1630549;1630565	2640874
350700;388088	2640874
350700;425394;795757;795758;795759;795761;795762;795763;795764;795765;795766;795767;795768;795769;795770;795771;795772;866816;866825;866826;866829;866830;1630551;1630553;1630555;1630560;1630570;1630573;1630574;1630580;1630583;1630587;1630588	2640874
3507;21017	3504
35128;296543	35128
35128;49265;265564;340023;1268954	35127
351439;1147738	37098
35200;935621	935621
355467;707106	192944
357233;1388748	357233
35772;452530;501032;1078479	33926
35777;37701	33926
35777;866590;1232628	85620
35779;100379	85620
358022;696974	358016
35806;78245	28211
358574;1089553	1089553
358800;1248520;1248537;1248548;1248551;1248564;1248565;1248578;1248579;1248580;1248583;1248584;1248586;1248587;1248591;1248593;1248594;1248595;1248596;1248597;1248599;1248600;1248601;1248602;1248603;1248604;1248605;1248606;1248607;1248609;1248610;1248617;1248618;1248620;1248621;1248622;1248623;1248625;1248626;1248629;1248630;1248636;1248638;1248639;1248640;1248641;1248643;1248644;1249238	51812
360196;657445	657445
360910;420662	80840
361139;1410327	361139
362592;362593	2172983
36331;186163	1448052
36331;186163;529119	1448052
365517;365518	2644735
367737;944546	28197
368121;368258	1236
368456;368463	481632
36911;306902	36911
3691;43335;113636	3689
3708;3711	3705
371839;392020	2613769
371884;371885	132710
372185;372186	372087
372657;372658;372660	2638247
373010;373011	704140
37303;1304951	13778
373884;373885	196779
37399;414043	37398
37487;765910	37487
375353;1212817	53413
375555;614647	2637901
376;172087;1178967;1549051;1549052;1549073;1549074;1549088;1549091;1549098;1549099;1549100	2631580
376355;433956	261839
376365;433957	2910
376619;393011;458234	119857
3767;332388	3767
379731;381754	286
380;28106	663276
380;61013	82115
380703;382245	642
38145;165143	2
38145;77133	2
3818;130454	3817
382093;1592665	96236
382268;382272	12333
382354;382356	196896
382390;385420	1366303
382397;1792275	382376
382531;382564	451442
382543;382547;382580;382581	2644096
382652;674790	35133
38274;38276	3038
383629;391619	221822
383925;546467	2627022
384;1736679;1736680;1736681	379
384;754774	384
38544;1227380	38543
38545;1405809	28021
3870;3871;183966	163729
38705;257763	147366
3880;428386	3880
388046;388047;388049;388050;388051;388055;1630543;1630544;1630547	2640874
388051;388054;388055;1630543;1630544;1630546;1630547	2640874
388054;1630546	2640874
38817;284784;284790	418966
3885;157791	163735
388589;1050967	7730
38949;373637	301959
390530;390533	2644344
394396;394397	2624447
39492;657319	39492
396024;573508	5052
39695;182220	1866885
398579;458817	22
398667;1081871	35072
39946;39947	4530
400219;400220	2640676
400667;509170;509173	470
401739;401740;401741;401742;401743;401841	2641698
402107;402108	537838
40366;47314	32335
404108;404109	403978
405181;874808	6752
405981;889336	889336
40602;425013;1806558	5110
406756;406759	44169
407273;407274	407272
408540;408544	2645675
408580;1150624;1150625	408580
408;661410	408
4097;4098	4085
40986;378505	2924
40990;928724	40990
411024;411025;411042;411043	196821
4112;1211614	4107
411483;1755626	216851
411966;1260963	1184
412158;882317	2830
41281;1470541	5052
412965;413404	32036
413497;1159560	413497
417203;616819;616822	119060
417574;1441457	417574
41807;159856	9822
419610;426355	119045
420247;634498	2172
420406;936341;1232631;1232634;1232635;1232639;1232642	33926
4205;237933	4204
42192;44597;373637	6545
422210;422211;422212;422213	228096
42251;59557;60458;64386	36048
425840;425842;425948;525716	3319
426078;426079;426080;426081;426082	2648630
426114;554130;554132	32012
426400;426404	227072
426932;859518	38196
429111;429113	2645886
431328;1487558	59796
431834;431835	211524
435590;435591	171549
435591;469591;469592;563193;999416;999417;1262912	171549
435912;1123496	435912
436402;868601	780
43662;1165091	53246
437713;437714;1156992	5935
439778;439779;439787;439788	3041
439790;439791	2109548
439928;439929;658448	439927
44008;1121864	44008
440568;1191460	469
442694;456327;487837;1101443	338
443219;457354	211524
443219;457354;708009	211524
444876;536472;536475	28883
445021;1425274	2631580
445438;619325	7443
44597;112135	6545
446535;446539	2626688
446795;1425273	2631580
44689;352472	44689
447978;507818	447977
449422;449423;449424;449425;449426;449430;449431;449432	196869
449435;449436	196869
45068;45070	445
452027;452043	1391737
452053;1075215	304325
452201;991101	169939
455448;455449	1126
4558;91525	4557
4565;112509	147389
4568;4572	4564
456910;456911;456912;456913	2644344
456946;456948	2644344
457478;457479	201914
4577;381124	4577
45838;1426227	4107
45839;50511	4107
463551;463552;463553;463554;463555;463556;463558;463559;463561;908285	712
46358;2267729	773
463600;1780476	463599
463622;463623	655776
463873;1679802	3487
464701;1390379	155616
46503;77133	2
465777;475233	467778
467565;467579	49928
467787;467792	211524
468000;468001;468010;468012	2593292
468353;1342654	2603561
46947;704171	2759
47002;63122	38568
470082;470101	2726947
470;28090	469
470;40214;48296	469
4720;446125	4719
472;28090	469
472689;574096	53335
474394;490190	662
4766;102136	4762
4770;334526	4769
47714;113557	1597
477207;477208	2638500
478021;637997;1480069;1480071;1480072;1480073	77022
4784;231958	4762
4784;4793	4783
4787;403677	4787
47877;264452;264455	136849
479127;479278	479126
479258;479263	479176
479284;479285	2624481
47934;120300	47933
47934;120300;146760;150623;447208;497816	2864
47934;1273570	2759
47934;150597;150622;150623	47933
47934;77931;704171	2759
47934;77931;704171;1123954	2759
47934;77931;83649;146760;150622;195504;704171	2759
47934;83649	47933
479719;1104433	517359
480029;480030	228096
482587;542347	542347
4853;76405	4852
485846;485847;485848	2657482
4860;34480	4859
486918;486919	2640676
487;1172206	487
487688;487698;487724	40323
487715;1292132	196198
487726;1292116	196198
489913;1073081	744724
491937;491938;491943;491944;491945;907206	641
492293;492321	185979
49249;59812	49247
49265;291032	35127
49266;87146;87148	3011
49266;87146;87149	3011
49266;87146;87149;757423	3011
49266;87148;87149;87150;757423;1086085;1086086	3011
49266;87149	3011
4932;559292	4932
49422;679918	49422
494236;662513	494235
4952;1437815	4952
495;214482	495
49581;57722;178799	91882
497116;497117;497118;497119;497120	36866
497122;497123;497124;497125	36866
497126;497128;497129;497130;497131;497132;497133;497134;497135	36866
49773;113208;126903;300354;304129;304130;304134;304136;304143;304153;374021;374022;374023;374024;374028;374029;374030;374031;374534;374535;374537;374538;374540;374544;374545;374547;374554;374556;374558;374566;374567;374569;374570;374571;374572;374573;374574;374575;374577;374578;374580;374581;374582;374583;374584;374587;374589	24663
498221;498223	219829
499620;519348	2875
499850;1488322	1892251
501152;501161	167971
501823;501853	2648997
501832;501852;502049	168934
501836;502049	168934
501839;501843;501845;502049	168934
501848;501849	2648997
501863;501868	2648997
502065;502069	2631580
502066;502067	2631580
5062;510516	5062
50712;432296	59282
509112;509113	33809
511566;511567	106181
511586;1735832	63903
512312;1172164	2
512649;512652;512653;512654;512655	662
512650;1219064	512650
51501;186128	51426
515394;515395;515396;515400;515401;515402;515403	2647522
515517;515518	6609
515619;1898203	186928
516075;1141660	516075
516301;516353	2593676
51714;1737510	3066
518603;519849;526347;550747;550748;550773;565575;626095;626096	2130
519983;519984	2610885
519986;1580879	51727
520708;1530052;1530053;1530056	196816
522546;522547	49928
52584;708450	29521
526306;526307;526309;526310;526312;526318;526319;526323;526324	33811
526315;526316;526320	33811
52641;371417;703087;1417799;1417801;1417802	6821
5270;237631	5270
5276;5407	5404
528063;1265715	31989
529;335286	234
529;94625	234
529;94625;335286	234
529;94626	234
53046;82261;154293	1437183
5315;34461	5314
53267;285713	13786
53267;440082	13786
53267;60131	2507902
533367;533418;533426;533430;533433;533439;533451;533504;533540;533560;533561;533578;533583;533584;533608;533609;533612;533618;533636;533832;533854;533869;533874;533876;533889;533891;533910;533934;533938	2614977
533383;533656;533898;533967;533968	2614977
533392;533551;533575;533708;533710;533762;533818;533842;533848;533858;533879	2614977
533419;533782;533887	2614977
533473;533850;533964;534264	2614977
533546;533598;533621;533648;533911	2614977
533547;533775	2614977
534028;534033	2614977
53406;592361	286
534126;534171;534238	2614977
53462;1209984	53462
535083;535084	2620259
536451;536452	12333
536468;536474	10239
53707;59511	136849
53983;299392	4783
542371;711003	2
542382;710812	48479
542473;710778	2
542478;710783	2
542479;710822	2
542507;710994	2
542512;710993	2
542527;710730	2
542528;710726	2
54319;54343	909696
543360;1473334;1473347	286
544645;1472417	574697
546;308866	544
546;562	543
548;28090	1236
54859;879914	4697
549;48984	549
550;301102	354276
550;336306	550
550747;550748	2130
551765;1032238	2321108
551947;551949	2631580
552520;613186	436243
552669;647105	467050
554078;1549805	543769
554389;554391;554392;554393;554394;554395	196821
55488;55489	55487
55492;652455	16365
555;558270	555
55570;55576;55577	4672
555;796124	122277
555838;555839	655776
557120;557122;557124;557125;557126;557128	2613769
559518;559520	2636335
56;2093377	39643
562;1296536	543
562;143777	543
562;316401	562
562;366837	562
562;4932;300852	131567
562;573;584;58097	91347
562;573;615	91347
562;623;624;156539	1236
562642;562646;562648;562650	90141
562;83333;536056	562
562965;562966	2640225
56408;56409	29832
56448;487822	56448
56450;1219375	56450
56641;282267;282269;282271;282272;488412	5506
56730;56731;147700	379
56765;86473	2
568749;568750;568752;568753;568754;568755;568756;568757;568758;568759;568760;568761;568762;568771;568772;568773;568774	2622466
568751;568763;568767;568769	2622466
569;1002364	569
5691;5697	39700
57043;77133;285091;564033;564038	2
5722;412133	5722
573;1087440;1094170	573
573;1406314	573
573;1972431	543
573;61645	543
573;72407	573
574560;1004151	29487
57489;630408	57488
57575;126663;180811;220703;353264	57569
5759;294381	5759
576610;1819724;1855647	44013
576611;1743169;1855636;1855893	44013
577451;577452	203864
580033;1031542	1031542
580;1006000	579
5807;237895	5806
5808;1729943	5806
5821;5823	5821
582203;582239	257493
582260;582261	257493
58308;504590	46874
583345;666681	359407
586914;1055704	95295
58712;90371	59201
588596;747089	588596
5886;43139	5884
5886;65128	5884
58917;58919;88838	452283
589430;589431	47253
5898;427277	5890
590122;1126528	3014
5911;312017	5911
59310;315405	1301
593517;593518	2614977
595396;595401;595421	2624920
595396;595407;595410;595418;595422;595426	2624920
595408;595411;595423;595428	2624920
596090;882655	49928
59620;188895;352091;352092;352093;352122;352123;352125;352127;352131;352136;352140;352148	1485
59620;77133	2
596;90371	59201
597283;597284;598478	22973
59866;59877	4030
59920;74546;93059;167539	1219
59922;74547	1219
599;59205	590
59983;175059	49647
603423;603424;603425;603426	132604
604089;1236111	237
604089;1236111;1236169;1236170;1236171	237
60555;1168289	989
6087;795127	6083
60890;1580596	302485
611301;1137651	611301
61426;94112	32352
615;61652	613
61589;237961	4204
61648;362569	579
616819;616822	2613784
616821;882378	119060
618165;618200	273939
618184;618197;618200;619001;619122;1262370;1262372;1432624;1432625;1432626	273939
619633;619634;619638;619649	114295
621407;621410;621411;621419;621423;621425	2623549
621407;621410;621411;621419;621423;621425;621429	2623549
621407;621410;621419;621423;621425;621427	2623549
621407;621426;621430;621434	2623549
621408;621428	2623549
621409;1702569;1702572	2623549
621409;621420;621432	2623549
621413;1702580	2623549
621413;621452	2623549
621420;621432	2623549
621432;621450	2623549
621447;621449	2623549
621450;1142067	2623549
62303;62310;62311;62312;99931;1205903	31339
62344;246697	13228
6289;45464	126387
630128;1070854	2608897
630128;1150460	1678
630129;1150460	630129
630403;1448389	630403
630632;630634	136074
630911;630915	2631580
63141;908976	50949
632150;1034652	632149
633859;696472	10501
634;349968	634
634452;634453;634454;634455;634456;634457;634458;634459	481145
634452;634458	481145
634499;644651	79967
634712;634715	69548
636;667121	636
637624;637625	196869
638001;638002;638003	312883
638;701230;701231;701232;701233	637
640344;640364	2631580
644;196023	644
644;29491;1781632	642
644;582208	642
644;582211	642
644;645	642
644;667121	1236
64589;64590;152408;152418;152421;152429;152437;152438;152439;292002;292004;292009;292012;292013;292023;292026;552673;552674;552681;552687;552688;552689;552693;552696;552702	64588
648;582204;582212;582248	642
648944;648945;648946;648947;648948;648949;648950	196821
648954;648955;648956	196821
648995;768901;768909	227290
64923;78552	141906
64939;101007;101015;101020;157670	3746
650649;650650;650651	2622466
651;29489	642
652910;870566;870567;870568	652909
653005;874834	6752
653028;874569	555092
653972;653986	83716
6550;29158	6548
6550;6551	6548
6550;6551;173667	6548
656064;656072	6103
65655;1281780	47420
65719;244871	1203520
658197;1117310	36751
658;553611	553611
659;1113700	657
661508;661511	2620435
663;1231058	717610
663202;663331	5550
666;127906	666
6662;85549	6660
666;32630	32630
666;345073;948564	666
666;945543	662
668;677232;677404;677436	641
669041;1458509;1458512	104267
669041;1458512	104267
669041;1458515	104267
669;1229494	717610
669;680	717610
66973;66974	447
670;294959	662
670884;670885	58840
671244;671245	2639137
671267;1236538	671267
67277;173860	1883
6728;114396	6656
673564;673565	196869
674529;1077285	674529
676980;677052;677101;677128;677193	2614977
677012;677191;677228;677849	2614977
677119;677330	2614977
677188;677412;677490;677493;677521;677553;677618;677624;677670;677711;677712;677719;677721;677722;677723;677846;677851;677857;677864;677891;677935;677959;678003;678194;678326;678329;678336;678338;678427;678437;678442;678444;678446;678449;678452;678455;678463;678466;678471;678499;678526;722988;723008;723083;723142;723156;723163	2614977
677212;677219	2614977
677232;677436	2614977
677235;722968	2614977
677300;678514	2614977
677322;677336	2614977
677330;678280;678516	2614977
677583;677875	2614977
677590;677710;677716;677738;677853	2614977
678105;678106	2614977
678295;678309	2614977
678334;678380	2614977
678;718012	2614977
68186;68216	68186
68239;68243	1883
685043;686688	655444
685063;685064;685065;685066;685069;685071;685072;685073;685084;685087;685088;685089	2649934
68595;68597;68598;68599;68605	2633481
68606;68607;68608	196869
686239;931097	773
686583;881819	686581
686845;686848;686849;686852;686853;686854	2626047
689786;689787;689788	49928
692387;692388	2637901
692392;692397	2637901
692404;692407	2637901
692406;692408;692409;692411	2637901
692430;1266907	178295
694147;694148;694152;694155;694161;694163;694167;694175;694177;694180	185979
69609;197312	2562645
696485;1229493	696485
697100;1068550	139836
701489;701500	701476
703908;1155129	3015
703931;703932;703939	455363
705216;836761	7088
707599;707607	58612
70799;88833;137816	159191
708448;708449	2649512
70993;158757	768507
710996;711000	2
712042;861478	33213
714506;714508	23224
715195;1200984	1883
716925;716928;1414559;1414561;1414563;1414564;1414566	227292
72056;72057;72084;394690	34820
722754;1714387	722752
72680;235267;235268	2944
7274;46829	446045
72792;606501;1933149	47732
72994;198292;1778771;1778772;1778773;1778774;1778775;1778776;1778777;1778778;1778779;1778781;1778782	33926
73033;73105;932719	29214
73376;933798;1162617	73375
738;1117322	738
741844;741867	2630086
743221;920442	7088
74331;74335;144056	2632371
744629;835455	7088
74468;224750	74468
744861;1194186	744860
74546;93060	1219
74557;944643	74556
7460;7469	7460
74665;213996	62336
747686;747688	109265
753;1032637	712
754211;754212;754217;754232	1783272
754309;754321	2608889
754321;754336	2608889
754327;754328;754329	2608889
754408;754409	2615021
754429;754430	2625242
75658;1031753	75658
75702;492479	3689
75704;75706;75715;77063;300649	40685
759362;880591	92945
759838;796575;798581	2618417
76203;1596008	72256
76317;210989	76317
76322;981370	40144
76869;160488;223283;264730;351746;384676;390235	286
76869;160488;351746;384676;390235	286
768905;768915;768935	2632611
768906;768911;768912;768913;768914;768936;768938;768940;768943	2632611
768917;768942	2632611
77022;246149;246150;1184648	77022
77133;100762	2
77133;1029756	2
77133;1392836	2
77133;152509	2
77133;152509;165435	2
77133;155098	48479
77133;155900	155900
77133;156588	2
77133;159267	2
77133;162156	2
77133;165183;165185	2
77133;165433	2
77133;166587	2
77133;169009	48479
77133;174711	2
77133;194843	2
77133;198431	198431
77133;212695	2
77133;218288	2
77133;218538	2
77133;219048	48479
77133;246143	2
77133;261514	2
77133;270495	2
77133;352152	2
77133;373888	2
77133;440175	2
77133;575653	2
77133;650134	2
77133;86473	2
77133;91750	2
77133;927763	2
77133;98595	48479
77133;98605	48479
77133;98629	48479
77931;120300	2759
77931;481301	2759
77931;704171;704173;1123954	2759
78172;391824;391827	1540022
78454;1079039	9486
795776;795777;795778;795783	2640874
798153;2078566	798144
80365;90893	33637
8047;44932	8045
80722;81636	8045
80867;192388	12916
80971;80973	80969
817;28116	816
821;435590	821
82207;261403	16195
82324;85378	4688
823;28116	171549
82934;82936;944620	4797
82941;289614	4797
830232;1140731	7088
830464;1093874	7088
830962;1098784	7088
831;185008	830
831;657324	831
8323;8325;385668;395388;1288479;1611729	8322
83372;291032	35127
83450;83451	47
835295;1099767	7088
835899;1111029	7088
836170;1110893	7088
83647;706301	82738
838016;1099414	7088
838325;1138940;1140631	7088
841764;1103560	7088
84487;84500;84503	2638842
84490;84491	2638842
84751;1277687	84751
851;469604	851
85401;243826	75984
85643;1234381	33057
85684;230314;230316;230317;230318;230319;230320	2642494
857908;857954	1903410
859179;859183	859183
859642;859643	90936
86040;473420	346
862692;1147683	1224
862920;868024;868085	46593
86473;257385	2
86473;648174	1236
866816;866830;1630553;1630560;1630570;1630587	2640874
868059;868060	2631692
868099;876028	104698
87104;363902	33674
87149;757423	3011
8732;184540	8731
875262;944674;944675;944676	196869
8790;8797;8801;8822;83376	8783
88149;88154	309357
882793;882794;882795;882796;882797	882792
882793;882794;882795;882797	882792
885464;944689;944693	196869
886333;886338	2642494
887144;1368428	887144
889502;1232651	33926
890382;904126	653948
894680;1098080	7399
903772;903774	903771
90396;158098	45618
904371;1313244	1120752
904486;1032241	2321108
907412;907430;907431	2631580
907417;907418;907419;907420;907421	2631580
907933;907935;1007733;1007736;1007737;1007740;1007761;1007771;1007775;1007783;1007787;1007794;1007797;1007799;1007802;1007805;1007821;1007825;1007828;1007860	49747
908995;914026	908989
90936;859642	90936
90936;859642;859643	90936
910591;910592;910593;910595;910596;910597;910598;910599;910600;910601;910602;910603;910604;910605;910606;910607	38240
91482;368784;746128	5052
91750;106905	47925
91750;157276	28211
91750;293400	28211
91809;213996	1068733
91991;91992	722751
920372;1137155	7088
92647;326444;326445;326452;326453;326455;326456;1331356	119060
930089;930091	33194
930;119978	119977
931645;931652;931667;931676;931704;931711;931718;931722;931734;931735;931741;931751;931755;1197463;1197464	2631580
931657;931664;931682;931687	2631580
933284;1643505	2613769
933798;1162617	73375
935223;1236148;1236149;1236150;1236152;1236162	237
936428;1577090;2033607	5820
937222;937224	937079
93939;93940;172087	2631580
939423;939445;939462;939469;939512;939519;939529;939535	1050719
93969;495343	5806
9408;9704;9719;33556	314145
94114;186284;212812;2609304	7215
942706;1391051	942705
94289;1172189	57506
944654;944661;944669;944670	196795
945894;945897	2613769
946455;946478;946479;946480;946482	2646205
947829;947830;947831;947833	2620435
9544;9545;9565	9528
9545;9565	9528
9555;9557	9554
95634;176247	49147
95713;95714	95671
9606;10090;10116	314146
9606;9986;10090;10116	314146
96939;506485;754101;1239149;1239943	3603
97227;1223579	97226
9767;9768	9766
977741;1704129	4783
980296;980297	193125
980350;980372	55970
980363;980368	980359
9823;310261	9823
98283;98284;106364;106365;106366;106367	2632575
9837;419612	9836
9837;9838	9836
9837;9838;419612	9836
98506;265967;265968	5683
987066;987067	31953
988796;988801	91347
989844;1888760	2648784
990284;1079800	1079800
9913;9915;661048	9903
993395;1043162	2622519
997936;997939	99900
998131;999057	197836
99875;311978	5661
999114;1174474	2613772
99912;1172189	5943
